Student_ID,Name,Gender,Department,10th_Percentage,12th_Percentage,Graduation_Percentage,Attendance_Percentage,Internship,Technical_Skills_Score,Aptitude_Score,Communication_Score,Projects_Count,Backlogs,Placement_Status,Company_Name,Package_LPA,Placement_Category,Performance_Level
S001,Arnav Baria,Male,Electronics,87%,62%,61%,70%,Completed,65,64,67,2,0,Placed,Infosys,9.6,High Package,Average
S002,Onkar Buch,Female,CS,88%,77%,60%,75%,Completed,62,95,85,6,0,Not Placed,,,Low Package,Average
S003,Eshani Bal,Male,IT,84%,66%,82%,87%,Not Completed,59,63,67,5,2,Not Placed,,,Low Package,Excellent
S004,Priyansh Lal,Male,Electronics,78%,83%,72%,69%,Not Completed,84,57,79,1,0,Not Placed,,,Low Package,Good
S005,Aradhya Dash,Female,Civil,83%,70%,83%,87%,Completed,64,56,55,2,2,Not Placed,,,Low Package,Excellent
S006,Manjari Bala,Male,CS,89%,84%,77%,79%,Not Completed,90,60,88,6,0,Not Placed,,,Low Package,Good
S007,Kashvi Sekhon,Female,IT,73%,80%,73%,96%,Not Completed,52,70,64,4,0,Not Placed,,,Low Package,Good
S008,Rati Chander,Female,Electronics,87%,85%,83%,79%,Not Completed,58,65,66,2,1,Not Placed,,,Low Package,Excellent
S009,Kiaan Gole,Male,Civil,64%,84%,84%,94%,Not Completed,57,59,53,5,0,Not Placed,,,Low Package,Excellent
S010,Neelofar Borah,Female,Mechanical,67%,78%,87%,75%,Not Completed,57,93,93,4,0,Not Placed,,,Low Package,Excellent
S011,Divyansh Rao,Male,CS,83%,70%,60%,85%,Completed,61,82,82,4,2,Placed,Deloitte,8.6,High Package,Average
S012,Miraya Kadakia,Male,IT,91%,64%,68%,73%,Completed,69,65,73,6,0,Placed,TCS,5.2,Medium Package,Average
S013,Ivana Buch,Male,Electronics,72%,79%,85%,88%,Not Completed,83,88,66,4,1,Not Placed,,,Low Package,Excellent
S014,Neelofar Sekhon,Male,Electronics,95%,74%,74%,65%,Not Completed,64,54,65,1,0,Not Placed,,,Low Package,Good
S015,Nirvaan Kulkarni,Female,CS,94%,68%,90%,80%,Completed,52,71,54,4,1,Placed,Capgemini,5.1,Medium Package,Excellent
S016,Rohan Dash,Female,Civil,86%,89%,63%,71%,Not Completed,56,92,56,1,1,Not Placed,,,Low Package,Average
S017,Himmat Dewan,Female,CS,77%,89%,75%,69%,Not Completed,65,62,56,4,2,Placed,Capgemini,7,Medium Package,Good
S018,Kismat Yohannan,Male,CS,86%,91%,90%,78%,Completed,84,50,91,4,0,Placed,TCS,11.3,High Package,Excellent
S019,Farhan Tripathi,Female,Mechanical,87%,95%,91%,74%,Completed,50,74,74,2,1,Not Placed,,,Low Package,Excellent
S020,Heer Chacko,Male,Electronics,90%,92%,70%,68%,Not Completed,87,84,53,5,1,Placed,Cognizant,5.8,Medium Package,Good
S021,Nishith Baria,Male,Civil,67%,75%,62%,70%,Completed,88,54,54,4,1,Not Placed,,,Low Package,Average
S022,Umang Kata,Male,Mechanical,85%,68%,79%,94%,Not Completed,92,95,63,3,2,Not Placed,,,Low Package,Good
S023,Jhanvi Shan,Male,Electronics,76%,68%,82%,69%,Completed,89,86,79,2,0,Placed,TCS,3.7,Low Package,Excellent
S024,Farhan Ghose,Female,Electronics,93%,60%,79%,71%,Not Completed,78,84,60,2,2,Not Placed,,,Low Package,Good
S025,Mannat Dua,Female,Electronics,73%,81%,73%,81%,Not Completed,85,59,56,5,0,Not Placed,,,Low Package,Good
S026,Hridaan Acharya,Female,IT,60%,81%,68%,81%,Not Completed,55,90,53,2,2,Not Placed,,,Low Package,Average
S027,Eshani Saraf,Male,Mechanical,95%,69%,87%,73%,Not Completed,50,57,85,1,3,Placed,Cognizant,11.1,High Package,Excellent
S028,Vaibhav Buch,Male,IT,82%,95%,86%,74%,Not Completed,72,63,52,2,2,Not Placed,,,Low Package,Excellent
S029,Mamooty Loyal,Female,Civil,75%,77%,70%,71%,Completed,51,61,76,4,1,Not Placed,,,Low Package,Good
